,similarity_scores_85
Automatic telephone wake-up call service,"['Wake up call service on request', 'Automatic telephone wake-up call service', 'Automatic wake-up call']"
Entertainment (nearby),['Entertainment (nearby)']
Internet access (on request),"['Internet access (fees may apply)', 'Internet access (on request)', 'Internet access-dial-up', 'Internet access', 'Internet access-complimentary']"
Pay movies,"[""Pay 'n' Play Movies"", 'Pay movies']"
Disabled Facilities,"['Disabled facilities', 'Disabled Facilities', 'Facilities for disabled guests', 'Rooms/Facilities for Disabled Guests']"
Herbal treatment,['Herbal treatment']
Shower Caps,['Shower Caps']
Backup generator,['Backup generator']
Magnifying Mirror,['Magnifying Mirror']
Breakfast buffet,"['Continental Breakfast', 'Breakfast Buffet', 'Breakfast Room', 'Breakfast buffet', 'breakfast', 'Restaurant (buffet)', 'Complimentary Breakfast', 'Continental breakfast']"
Telescopes,['Telescopes']
Free Wi-Fi,"['Wi-Fi', 'Wi-fi', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Free Wi-Fi Icon', 'Internet/Wi-Fi', 'Free Wi Fi*']"
Furnished balcony or patio,"['Furnished balcony', 'Balcony', 'Furnished patio', 'Patio-room', 'Furnished balcony or patio', 'Balcony or patio']"
Safe,['Safe']
Boating,['Boating']
Activity centre,"['Activity Centre', 'Activity centre']"
Air Conditioning,"['Central Air Conditioning', 'Air conditioning-Room', 'Air Conditioning', 'Air Conditioned', 'Air conditioning']"
Turndown service (on request),"['Turndown service (on request)', 'Turndown service']"
Children's club,"[""Children's pool"", ""Children's club (free)"", ""Children's Playground"", ""Children's play area"", ""Children's entertainment"", ""Children's club (surcharge)"", ""Children's activities"", ""Children's club"", ""Children's Play Area""]"
24 hour business centre,"['24-hour business center', '24 hour business centre']"
Courtesy Shuttle Service,"['Shuttle Service', 'Courtesy Shuttle Service', 'Shuttle Service (free)']"
Train station pickup (surcharge),"['Train station pickup (surcharge)', 'Airport transportation - pickup (surcharge)', 'Train station pickup (complimentary)']"
Facilities for disabled guests,"['Disabled facilities', 'Disabled Facilities', 'Facilities for disabled guests', 'Rooms/Facilities for Disabled Guests']"
Wi-Fi Internet,"['Wifi EnabledFree Wi-Fi', 'Wi-Fi', 'Wi-Fi Internet access', 'Wi-fi', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi', 'Free Wi Fi*', 'Chargeable Wi Fi Internet Connectivity']"
Water Sports,['Water Sports']
Dance Floor,['Dance Floor']
Waterfall,['Waterfall']
Garden terrace,"['Rooftop terrace', 'Terrace', 'Rooftop garden', 'Pool Terrace', 'Garden', 'Garden terrace']"
Golfing,['Golfing']
Valet parking (surcharge),"['Secure parking (surcharge)', 'Valet parking', 'Parking (surcharge)', 'Free valet parking', 'Garage parking (surcharge)', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Parking(valet)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Valet Parking', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']"
Waterslide,['Waterslide']
Beach towels,['Beach towels']
Doctor on Call,"['24 Hour Doctor On Call.', 'Doctor on Call', 'Dentist on call', 'Doctor on call']"
Dentist on call,"['Doctor on Call', 'Dentist on call', 'Doctor on call']"
Hiking,"['Hiking/biking trails', 'Hiking']"
Showers only,"['Shower only', 'Showers only']"
Parking nearby (surcharge),"['Secure parking (surcharge)', 'Parking nearby', 'Parking (surcharge)', 'Garage parking (surcharge)', 'Parking', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Parking (nearby)', 'Self parking (surcharge)', 'Area shuttle (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']"
Private bathroom,['Private bathroom']
Library,"['Reference library', 'Library']"
Currency exchange,"['Currency Exchange', 'Currency exchange']"
Jogging track,"['Jogging track (nearby)', 'Jogging track']"
Snorkelling,['Snorkelling']
Room Size: 17 sq m (182 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Attached Balcony,"['Balcony', 'Attached Balcony', 'Attach balcony']"
Outdoor pool (all year),"['Outdoor Swimming Pool (all year)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Outdoor Swimming Pool (seasonal)', 'Swimming pool - outdoor', 'Outdoor pool (all year)', 'Indoor Swimming Pool (all year)', 'Indoor pool (all year)', 'Outdoor pool (seasonal)']"
Snack Bar,"['Bar', 'Snack Bar', 'Snack bar/deli']"
Number of floors,"['Number of floors -', 'Number of floors']"
Room Size:32 sq m(344 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Hair dryer (on request),"['Hair Dryer', 'Hair dryer (on request)', 'Hair dryer on Request']"
Dining Hall,"['Dining Hall', 'Separate dining room']"
Internet via television,['Internet via television']
40'' Plasma TV,"['Plasma TV', 'Plasma Television', ""40'' Plasma TV""]"
Tailoring,['Tailoring']
Dance performances,"['Musical performances', 'Dance performances']"
Clock radio,['Clock radio']
Test Facility,['Test Facility']
Doctor on call,"['24 Hour Doctor On Call.', 'Doctor on Call', 'Dentist on call', 'Doctor on call']"
Dvd Player- Chargeable,"['DVD Player', 'Dvd Player- Chargeable']"
Dining Room Available for groups on special arrangement,['Dining Room Available for groups on special arrangement']
Radio,['Radio']
Broadband Internet,"['ADSL Internet service', 'Inroom Broadband', 'Broadband Internet Connection', 'Broadband Internet', 'High-speed broadband and wireless Internet access']"
Stargazing,['Stargazing']
Multi-line phone,['Multi-line phone']
On-site medical assistance available,"['On-site medical assistance available', 'Medical assistance available']"
TVLiving Room,"['Living Room', 'Meeting room', 'Living Room and Bed Room', 'Refrigerator-Room', 'Patio-room', 'Breakfast Room', 'TVLiving Room', 'Separate dining room', '250 room space for double room, with Wify,']"
Hair dryer on Request,"['Hair Dryer', 'Hair dryer (on request)', 'Hair dryer on Request']"
Trekking Nearby,['Trekking Nearby']
In-house Casino,['In-house Casino']
Complimentary Newspaper,"['Complimentary newspapers in lobby', 'Complimentary Newspaper', 'Complimentary weekday newspaper', 'Complimentary newspaper']"
Conference / Banquet Hall,"['Conference & Banquet Facilities', 'Conference Hall', 'Conference / Banquet Hall']"
Turkish/Steam Bath,"['Steam bath', 'Turkish bath/Hammam', 'Turkish/Steam Bath']"
3 Telephones with global direct dial and voice mail,['3 Telephones with global direct dial and voice mail']
Cable T.v,"['Satellite T.v.', 'Cable T V', 'Cable T.v']"
Coffee/tea in lobby,"['Tea coffee maker', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee/tea in lobby', 'Tea/Coffee Maker']"
Shoe shine,"['Shoe Shine', 'Shoe shine']"
22'' LCD TV,"[""32'' LCD Flat-screen TV"", 'LCD TV', ""29'' TV"", ""22'' LCD TV"", ""40'' LCD Flat screen TV""]"
Air Conditioned,"['Air conditioning-Room', 'Air Conditioning', 'Air Conditioned', 'Air conditioning']"
Fitness centre,"['Fitness centre (nearby)', 'Fitness Center', 'Health and fitness centre', 'Fitness Centre', 'Fitness centre']"
Bicycles on Hire,"['Bicycle hire', 'Bicycles on Hire']"
Transportation,"['Public transportation', 'Airport transportation', 'Transportation']"
Free high-speed Internet access,"['Wired high-speed Internet access (surcharge)', 'Free Internet', 'High speed Internet access', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Internet access-high speed', 'Free high-speed Internet access', 'Internet access-dial-up', 'High-speed broadband and wireless Internet access', 'Internet access', 'Wired (high-speed) Internet access - surcharge']"
Tamarind massage,['Tamarind massage']
"Room Service, 24 Hour Reception And Laundry Service","['Room service (24 hours)', '24 hour room service', 'Room Service 24 Hrs', 'Laundry Service Same Day', 'Room Service', 'Room Service, 24 Hour Reception', 'Laundry Service', '24-hr Room Service', 'Room service', 'Laundry Service (At a charge)', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', 'Room cleaning service', 'Room service(limited hours)', '24-hour Room Service']"
Climbing wall,['Climbing wall']
ISDN connection,['ISDN connection']
Sightseeing,['Sightseeing']
350 to 375 sq ft,"['460 Sq Ft', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)']"
Individually furnished,['Individually furnished']
Cookie & Chocolate Platter,"['Chocolate/Cookie Platter', 'Cookie & Chocolate Platter']"
Hot & Cold Running Water,"['Hot and cold running water available 24 hrs', 'TVHot/cold Water', 'Hot & Cold water', 'Hot Water', '24-hrs Hot & Cold Water', 'hot water', 'Hot & Cold Running Water', '24-hr Hot & Cold Water', 'Hot/cold Water', 'TVHot & Cold Running Water']"
Room Size: 330 sq m (3552 sq ft),"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
24 hour coffee shop,"['24-hour Coffee Shop', '24-hr Coffee Shop', '24 hour coffee shop']"
Entertainment Centre,['Entertainment Centre']
Florist,['Florist']
Luggage Storage,"['Luggage storage', 'Luggage Storage']"
Pub,['Pub']
King / Twin Beds,"['King or Twin Beds', 'king bed', 'King or Twin Bed', 'King Bed', 'King / Twin Beds']"
TV,"['TV with satellite / Cable TV channels', 'Cable Tv', 'LCD TV', 'TV', 'Satellite TV']"
"A full-sized work desk, with egronomically-designed executive chair","['A full-sized work desk, with egronomically-designed executive chair']"
Internet point,['Internet point']
Playground (nearby),"['Park Nearby', 'Playground (nearby)', 'Playground']"
Deep soaking bathtub,['Deep soaking bathtub']
Beach/pool umbrellas,"['Beach umbrellas', 'Beach/pool umbrellas', 'Beach sun loungers']"
Cruises,"['Cruises', 'Houseboat cruises', 'Sunset cruises']"
Souvenirs/Gift Shop,"['Gift/souvenir shop', 'Souvenirs/Gift Shop']"
Secure parking,"['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Free secure outdoor parking', 'Free secure covered parking', 'Parking(secure)', 'Secure outdoor parking (surcharge)', 'Secure parking', 'Free secure parking']"
Scrabble,['Scrabble']
Aerobics classes,"['Yoga Classes', 'Aerobics classes']"
24-hr Hot & Cold Water,"['Hot and cold running water available 24 hrs', 'Hot water for 8 hours a day', '24 Hour Doctor On Call.Hot/cold Water', 'Hot & Cold water', 'Hot Water', '24-hrs Hot & Cold Water', 'hot water', 'Hot & Cold Running Water', '24-hr Hot & Cold Water', 'Hot/cold Water']"
Pool Table,"['Pool / Snooker Table', 'Billiards/pool table', 'Pool Table', 'Pool table', 'Billiards or pool table']"
Geyser,['Geyser']
9-hole Golf Course,"['18-hole Golf Course', '9-hole Golf Course']"
BBQ Facilities,"['BBQ facilities', 'BBQ Facilities']"
Bungee jumping,['Bungee jumping']
Biggest selection of eclectic DVD's (available at Reception),"[""Biggest selection of eclectic DVD's (available at Reception)""]"
Signature bedding,['Signature bedding']
Helicopter service,['Helicopter service']
Video Games,"['Video Game Arcade', 'Video-game console', 'Video Games', 'Video games room']"
Houseboat cruises,"['Cruises', 'Houseboat cruises']"
Bathrobes (on request),['Bathrobes (on request)']
LCD television with multi channel cable,"['Flat screen color television with multi-channel cable', 'Cable/satellite TV', 'TV with satellite / Cable TV channels', 'Cable Tv', 'Cable TV service', 'LCD television with multi channel cable', 'LCD TV with Set']"
Swimming pool - children's,"[""Children's pool"", 'Outdoor Swimming Pool (all year)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Kids Pool', 'Swimming pool (men only)', 'Swimming pool - outdoor', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)', ""1 children's pool""]"
Complimentary grocery shopping service,['Complimentary grocery shopping service']
Deck chairs,"['Chairs', 'Deck chairs']"
Number of spa tubs -,['Number of spa tubs -']
Telephone/fax machine,"['Fax Machine', 'Telephone/fax machine']"
Health Club,"['Gymnasium/Health Club', 'Health Club']"
Entertainment staff,"['Entertainment Staff', 'Entertainment staff']"
Special diet menus (on request),"['Special Diet Menus (on request)', 'Special diet menus (on request)']"
Fully equipped kitchen/pantry for self cooking,['Fully equipped kitchen/pantry for self cooking']
Printing service,['Printing service']
Individually decorated,['Individually decorated']
Sun terrace,"['Terrace', 'Sun Terrace', 'Sun terrace']"
Ocean view,"['Sea view', 'Sea View', 'Ocean View', 'Ocean view']"
Indoor Swimming Pool (all year),"['Swimming pools', 'Outdoor Swimming Pool (all year)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', 'Swimming pool (men only)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Outdoor pool (all year)', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)', 'Indoor pool (all year)', 'Outdoor pool (seasonal)']"
Internet access-dial-up,"['High speed Internet access', 'Dial-up Internet access - complimentary', 'Internet access-high-speed', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Internet access-high speed', 'Internet access (on request)', 'Free high-speed Internet access', 'Internet access-dial-up', 'High-speed broadband and wireless Internet access', 'Internet access', 'Dial-up Internet access - surcharge', 'Internet access-complimentary']"
Room service (limited hours),"['Room service (24 hours)', '24 hour room service', 'Room Service 24 Hrs', 'Room Service', 'Room Service, 24 Hour Reception', '24-hr Room Service', 'Room service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', 'Front desk (limited hours)', 'Room service(limited hours)', '24-hour Room Service']"
Massage (nearby),['Massage (nearby)']
Complimentary weekday newspaper,"['Complimentary Newspaper', 'Complimentary weekday newspaper', 'Complimentary newspaper']"
Shuttle Service (free),"['Shuttle Service', 'Airport Shuttle (free)', 'Courtesy Shuttle Service', 'Shuttle Service (free)']"
Trekking,"['Elephant trekking', 'Trekking']"
Speakerphone,['Speakerphone']
Gazebo,['Gazebo']
Discotheque,['Discotheque']
Table Fan,['Table Fan']
Security Guards,"['Security Guards', 'Security guard']"
High-speed broadband and wireless Internet access,"['Wired high-speed Internet access (surcharge)', 'Free WiFi Internet Connectivity', 'High speed Internet access', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Broadband Internet Connection', 'Internet access-high speed', 'Broadband Internet', 'Free high-speed Internet access', 'Internet access-dial-up', 'High-speed broadband and wireless Internet access', 'Internet access', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Wireless Internet access - surcharge']"
